title,slug,category,styrk_code,median_pay_annual,num_employed,education,url
Skipsmotormekaniker,skipsmotormekaniker,"Prosess- og maskinoperatører, transportarbeidere mv.",8350,707280,5951,Videregående,https://utdanning.no/yrker/y_skipsmotormekaniker
Skofagoperatør,skofagoperatoer,,,,,Fagbrev/fagskole,https://utdanning.no/yrker/y_skofag
Skogbruksleder,skogbruksleder,"Bønder, fiskere mv.",6210,517080,833,Bachelor,https://utdanning.no/yrker/y_skogbruksleder
Skogbrukssjef,skogbrukssjef,Ledere,1311,815280,652,Ingen formelle krav,https://utdanning.no/yrker/y_skogbrukssjef
Skogsoperatør,skogsoperatoer,"Bønder, fiskere mv.",6210,517080,833,Videregående,https://utdanning.no/yrker/y_skogsoperator
Skoleassistent,skoleassistent,Salgs- og serviceyrker,5311,499320,92810,Fagbrev/fagskole,https://utdanning.no/yrker/y_skoleassistent
Skolefritidsleder (SFO),skolefritidsleder-sfo,Akademiske yrker,2342,642600,34312,Bachelor,https://utdanning.no/yrker/y_sfo
Skomaker,skomaker,Håndverkere,7536,572640,44,Videregående,https://utdanning.no/yrker/y_skomaker
Skriftgransker,skriftgransker,,,,,Bachelor,https://utdanning.no/yrker/y_skriftgransker
Skuespiller,skuespiller,Akademiske yrker,2655,646080,576,Bachelor,https://utdanning.no/yrker/y_skuespiller
Slakter,slakter,Håndverkere,7511,535800,1904,Videregående,https://utdanning.no/yrker/y_slakter
Smed,smed,Håndverkere,7221,588120,275,Videregående,https://utdanning.no/yrker/y_smed
Sminkør,sminkoer,Salgs- og serviceyrker,5142,471960,2911,Videregående,https://utdanning.no/yrker/y_sminkor
Snekker,snekker,Håndverkere,7115,574800,40269,Videregående,https://utdanning.no/yrker/y_trevaresnekker
Soneterapeut,soneterapeut,Høyskoleyrker,3230,660000,206,,https://utdanning.no/yrker/y_soneterapeut
Sosialantropolog,sosialantropolog,Akademiske yrker,2632,820320,1161,,https://utdanning.no/yrker/y_sosialantropolog
Sosiolog,sosiolog,Akademiske yrker,2632,820320,1161,,https://utdanning.no/yrker/y_sosiolog
